index,raw_j_valid,raw_cap_safe,raw_safe,raw_negative_jacobian,raw_negative_fraction,raw_degenerate,raw_degenerate_fraction,raw_minimum_signed_jacobian,raw_minimum_area_scale,raw_base_cap_fold_max,raw_crown_cap_fold_max,raw_cap_fold,raw_chamfer_l2,raw_hausdorff,projection_activated,projection_stage,alpha,retained_percent,post_j_valid,post_cap_safe,post_safe,post_negative_jacobian,post_negative_fraction,post_degenerate,post_degenerate_fraction,post_minimum_signed_jacobian,post_minimum_area_scale,post_base_cap_fold_max,post_crown_cap_fold_max,post_cap_fold,post_chamfer_l2,post_hausdorff,delta_chamfer_l2
0,1,1,1,0,0.0,0,0.0,0.22023846209049225,0.2202932983636856,0.0,0.0,0.0,0.002231834689155221,0.2252035409130442,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.22023846209049225,0.2202932983636856,0.0,0.0,0.0,0.002231834689155221,0.2252035409130442,0.0
1,1,1,1,0,0.0,0,0.0,0.001850893604569137,0.001896532834507525,0.0,0.0,0.0,0.007328642066568136,0.3493493780967,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.001850893604569137,0.001896532834507525,0.0,0.0,0.0,0.007328642066568136,0.3493493780967,0.0
2,1,1,1,0,0.0,0,0.0,0.29691392183303833,0.33778318762779236,0.0,0.0,0.0,0.00530886510387063,0.4879688331586832,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.29691392183303833,0.33778318762779236,0.0,0.0,0.0,0.00530886510387063,0.4879688331586832,0.0
3,1,1,1,0,0.0,0,0.0,0.0020081251859664917,0.00206872820854187,0.0,0.0,0.0,0.002987292595207691,0.22612337603758215,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.0020081251859664917,0.00206872820854187,0.0,0.0,0.0,0.002987292595207691,0.22612337603758215,0.0
4,1,1,1,0,0.0,0,0.0,0.16118136048316956,0.19008007645606995,0.0,0.0,0.0,0.004533716011792421,0.47299837703305425,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.16118136048316956,0.19008007645606995,0.0,0.0,0.0,0.004533716011792421,0.47299837703305425,0.0
5,1,1,1,0,0.0,0,0.0,0.2728385925292969,0.27283868193626404,0.0,0.0,0.0,0.0033371271565556526,0.37631660046233834,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.2728385925292969,0.27283868193626404,0.0,0.0,0.0,0.0033371271565556526,0.37631660046233834,0.0
6,1,1,1,0,0.0,0,0.0,0.03466583415865898,0.03484126180410385,0.0,0.0,0.0,0.0050125764682888985,0.316531297910244,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.03466583415865898,0.03484126180410385,0.0,0.0,0.0,0.0050125764682888985,0.316531297910244,0.0
7,0,1,0,55,0.0027195411392405065,0,0.0,-2.1251375675201416,0.0023116846568882465,0.0,0.0,0.0,0.005790774244815111,0.3305276033738254,1,all,0.013735853601247072,1.3735853601247072,1,1,1,0,0.0,0,0.0,0.0006218058406375349,0.0006262289243750274,0.0,0.0,0.0,0.0061925072222948074,0.33102803981063167,0.0004017329774796963
8,1,1,1,0,0.0,0,0.0,0.005581946577876806,0.00568859837949276,0.0,0.0,0.0,0.0077995965257287025,0.41314265806402584,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.005581946577876806,0.00568859837949276,0.0,0.0,0.0,0.0077995965257287025,0.41314265806402584,0.0
9,0,1,0,50,0.0024723101265822786,0,0.0,-1.5839823484420776,0.005583847872912884,0.0,0.0,0.0,0.006988260429352522,0.5070739363701088,1,all,0.014497898052468372,1.4497898052468372,1,1,1,0,0.0,0,0.0,0.0008471900364384055,0.0008509943727403879,0.0,0.0,0.0,0.012364201247692108,0.5458142210499607,0.005375940818339586
