idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,classical_geom_jacobian_valid,classical_geom_negative_jacobian,classical_geom_negative_fraction,classical_geom_degenerate,classical_geom_degenerate_fraction,classical_geom_minimum_signed_jacobian,classical_geom_minimum_area_scale,classical_geom_base_cap_fold_max,classical_geom_crown_cap_fold_max,classical_geom_cap_fold_max,classical_geom_cap_safe,classical_geom_safe,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency,learned_geom_jacobian_valid,learned_geom_negative_jacobian,learned_geom_negative_fraction,learned_geom_degenerate,learned_geom_degenerate_fraction,learned_geom_minimum_signed_jacobian,learned_geom_minimum_area_scale,learned_geom_base_cap_fold_max,learned_geom_crown_cap_fold_max,learned_geom_cap_fold_max,learned_geom_cap_safe,learned_geom_safe
0,0.0005409558652900159,0.01038704626262188,0.1469877811899747,0.04856930300593376,0.9251233339309692,True,0,0.0,0,0.0,0.0014384485548362136,0.0014384484384208918,0.0,0.0,0.0,True,True,0.0005421542446129024,0.010601701214909554,0.1474738715354165,0.04308217763900757,0.9265135526657104,False,55,0.0027195411392405065,0,0.0,-0.06040709465742111,0.0013310060603544116,0.0,0.0,0.0,True,False
1,0.0014708609087392688,0.019088324159383774,0.13697370870640885,0.08147779107093811,0.8965290784835815,True,0,0.0,0,0.0,0.0004825897340197116,0.00048258970491588116,0.0,0.0,0.0,True,True,0.001526276464574039,0.01972559094429016,0.13901150443474627,0.08177819848060608,0.8906124830245972,False,26,0.0012856012658227847,0,0.0,-0.9547992944717407,0.003699294989928603,0.0,0.0,0.0,True,False
2,0.0007704063318669796,0.014588402584195137,0.22342323077595028,0.026413213461637497,0.9572003483772278,True,0,0.0,0,0.0,0.015353255905210972,0.015353255905210972,0.0,0.0,0.0,True,True,0.0007357196300290525,0.01455083116889,0.2213172133772535,0.029948171228170395,0.9645372629165649,False,3,0.0001483386075949367,0,0.0,-0.04757346212863922,0.015378464944660664,0.0,0.0,0.0,True,False
3,0.002035360084846616,0.023802755400538445,0.13996131899049996,0.08365499973297119,0.9275050759315491,True,0,0.0,0,0.0,0.005889123305678368,0.005889123771339655,0.0,0.0,0.0,True,True,0.002028536284342408,0.024014197289943695,0.14219619598625602,0.07727321982383728,0.9263831973075867,False,5,0.00024723101265822786,0,0.0,-0.026832377538084984,0.011012225411832333,0.0,0.0,0.0,True,False
4,0.0016539227217435837,0.022270087152719498,0.2075514017203198,0.0706225037574768,0.9483347535133362,True,0,0.0,0,0.0,0.019153401255607605,0.019153399392962456,0.0,0.0,0.0,True,True,0.0012507927604019642,0.02028791233897209,0.19693479084172016,0.046295538544654846,0.9542599320411682,True,0,0.0,0,0.0,0.03400525823235512,0.0406099334359169,0.0,0.0,0.0,True,True
5,0.000995473936200142,0.016169508919119835,0.09117957807489713,0.07378722727298737,0.9625495672225952,True,0,0.0,0,0.0,0.0026232535019516945,0.002623253734782338,0.0,0.0,0.0,True,True,0.0008492382476106286,0.01542920246720314,0.10192322859039982,0.05587286874651909,0.9688453078269958,False,59,0.0029173259493670885,0,0.0,-2.9650285243988037,0.004370057489722967,3.89009655918926e-05,0.0,3.89009655918926e-05,True,False
6,0.0007784808985888958,0.015862612053751945,0.05024079514645685,0.04200807213783264,0.8990851044654846,True,0,0.0,0,0.0,0.01045980118215084,0.010459800250828266,0.0,0.0,0.0,True,True,0.0007511584553867579,0.015466621145606041,0.06425700187171791,0.043034203350543976,0.9136671423912048,False,22,0.0010878164556962025,0,0.0,-0.4132986068725586,0.03123837150633335,0.0,0.0,0.0,True,False
7,0.00044750358210876584,0.01166982389986515,0.08277627123239194,0.03779178485274315,0.8761894106864929,True,0,0.0,0,0.0,0.00048367585986852646,0.0004836758889723569,0.0,0.0,0.0,True,True,0.00034858888830058277,0.01078706979751587,0.07359129041056416,0.029279205948114395,0.8804283738136292,False,66,0.0032634493670886076,0,0.0,-0.5941634178161621,0.0045538670383393764,0.0,0.005059961229562759,0.005059961229562759,False,False
8,0.000716662616468966,0.014002697542309761,0.13972054467214312,0.041386380791664124,0.938125491142273,True,0,0.0,0,0.0,0.018541861325502396,0.018541859462857246,0.0,0.0,0.0,True,True,0.0005450312746688724,0.012746889144182205,0.12103713157855386,0.03670775145292282,0.9471630454063416,True,0,0.0,0,0.0,0.053164657205343246,0.05330519750714302,0.0,0.0,0.0,True,True
9,0.002600371139124036,0.02688438445329666,0.26920232190240345,0.08188561350107193,0.8853939175605774,True,0,0.0,0,0.0,0.014740081503987312,0.014740081503987312,0.0,0.0,0.0,True,True,0.0024388583842664957,0.02618769183754921,0.2709966848555983,0.07064064592123032,0.8862326145172119,False,30,0.0014833860759493672,0,0.0,-0.8618344664573669,0.04711895436048508,0.0003605227393563837,0.0,0.0003605227393563837,True,False
10,0.00114240194670856,0.014149815775454044,0.092663514116268,0.08002186566591263,0.9629608988761902,True,0,0.0,0,0.0,0.09940489381551743,0.09940488636493683,0.0,0.0,0.0,True,True,0.00040523509960621595,0.010152319446206093,0.06321874861003028,0.03350615128874779,0.9739378690719604,True,0,0.0,0,0.0,0.0976618081331253,0.09766463935375214,0.0,0.0,0.0,True,True
11,0.00037438582512550056,0.011035453528165817,0.04778557723754953,0.0345783457159996,0.972946286201477,True,0,0.0,0,0.0,0.0003464071196503937,0.00034640709054656327,0.0,0.0,0.0,True,True,0.0004193116328679025,0.011418168433010578,0.060268007928228215,0.03681522607803345,0.9740208983421326,False,4,0.00019778481012658228,0,0.0,-0.0014184798346832395,0.005585750564932823,0.0,0.0,0.0,True,False
12,0.0009343500714749098,0.015941984951496124,0.14727023089666055,0.04205459728837013,0.9424960613250732,True,0,0.0,0,0.0,0.02531379647552967,0.02531379833817482,0.0,0.0,0.0,True,True,0.0009017088450491428,0.015310550108551979,0.14627879658063458,0.04164762422442436,0.9328175783157349,True,0,0.0,0,0.0,0.08753272891044617,0.09507496654987335,0.0,0.0,0.0,True,True
13,0.00041391386184841394,0.010690810158848763,0.07772189392357874,0.035644613206386566,0.9237937331199646,True,0,0.0,0,0.0,0.005563173908740282,0.005563173443078995,0.0,0.0,0.0,True,True,0.00033231062116101384,0.009713800624012947,0.0769759555778399,0.029485533013939857,0.9315617084503174,False,16,0.0007911392405063291,0,0.0,-0.12973545491695404,0.01771777682006359,0.0,0.0,0.0,True,False
14,0.005379623267799616,0.027816541492938995,0.5087159263485141,0.15851737558841705,0.9205010533332825,True,0,0.0,0,0.0,0.022108621895313263,0.022108621895313263,0.0,0.0,0.0,True,True,0.003693127539008856,0.023768968880176544,0.4785623800051627,0.1114974394440651,0.9292027354240417,True,0,0.0,0,0.0,0.020875582471489906,0.02129315212368965,0.0,0.0007427948876284063,0.0007427948876284063,True,True
15,0.0016917658504098654,0.021188883110880852,0.09900677012133598,0.06748376041650772,0.8265566229820251,True,0,0.0,0,0.0,0.014644348993897438,0.014644348993897438,0.0,0.0,0.0,True,True,0.0012205090606585145,0.018904732540249825,0.08268477750280363,0.058711446821689606,0.8326125741004944,True,0,0.0,0,0.0,0.04789457097649574,0.047925934195518494,0.0,0.0,0.0,True,True
16,0.008732368238270283,0.03860197961330414,0.2772809884422545,0.21339944005012512,0.7478808164596558,True,0,0.0,0,0.0,0.001226526335813105,0.001226526335813105,0.0,0.0,0.0,True,True,0.008474349044263363,0.03725194185972214,0.2871679129578093,0.2145141363143921,0.7537487149238586,False,251,0.012410996835443038,0,0.0,-5.516366481781006,0.0019400583114475012,0.0,0.0,0.0,True,False
17,0.0011820755898952484,0.015500746667385101,0.11876280474014901,0.0705120712518692,0.9072012305259705,True,0,0.0,0,0.0,0.0012551040854305029,0.0012551040854305029,0.0,0.0,0.0,True,True,0.0006292433827184141,0.012394174933433533,0.10847154076820835,0.04795980826020241,0.9369081854820251,False,2,9.889240506329114e-05,0,0.0,-0.0015779966488480568,0.00027026108000427485,0.0,0.0,0.0,True,False
18,0.00044465967221185565,0.011678159236907959,0.148202402508251,0.028392549604177475,0.9418115019798279,True,0,0.0,0,0.0,0.02115609124302864,0.02115609310567379,0.0,0.0,0.0,True,True,0.00042555073741823435,0.01145477406680584,0.1518749886873814,0.0254141166806221,0.9417362213134766,False,1,4.944620253164557e-05,0,0.0,-0.007384654134511948,0.06591324508190155,0.0,0.0,0.0,True,False
19,0.009648356586694717,0.03622362017631531,0.2073426423981095,0.2060266137123108,0.764423131942749,True,0,0.0,0,0.0,0.02462894842028618,0.02462894655764103,0.0,0.0,0.0,True,True,0.009641576558351517,0.035869888961315155,0.2073426423981095,0.20603707432746887,0.7651795744895935,True,0,0.0,0,0.0,0.06704115122556686,0.06706330180168152,0.0,0.0,0.0,True,True
20,0.0008843356044963002,0.0145270936191082,0.08614082558655423,0.04970233514904976,0.922417938709259,True,0,0.0,0,0.0,0.006264593917876482,0.006264594383537769,0.0,0.0,0.0,True,True,0.00045191944809630513,0.011517848819494247,0.08059580584396682,0.03347157686948776,0.9291279315948486,False,8,0.00039556962025316455,0,0.0,-0.0792948305606842,0.01873844303190708,0.0,0.0,0.0,True,False
21,0.0011471565812826157,0.01752432808279991,0.2075208237551661,0.05478661507368088,0.9148797392845154,True,0,0.0,0,0.0,0.0007400697795674205,0.0007400697213597596,0.0,0.0,0.0,True,True,0.001014241948723793,0.01698574423789978,0.1767650676523946,0.052616968750953674,0.9122848510742188,False,62,0.003065664556962025,0,0.0,-0.4276253879070282,0.0013630687026306987,0.0,0.002546177012845874,0.002546177012845874,False,False
